day_utc,rows,finite_F_minutes,finite_flow_speed_minutes,finite_SYM_H_minutes,daily_min_SYM_H_nT,daily_max_SYM_H_nT,abs_daily_min_SYM_H,daily_SYM_H_interdecile_range,daily_F_median_nT,daily_F_interdecile_range,daily_flow_speed_median_km_s,daily_flow_speed_interdecile_range,median_percent_interp,maximum_percent_interp
2024-02-09 00:00:00+00:00,1440,1383,893,1440,-9.0,22.0,9.0,16.0,3.56,3.501999999999999,437.7,65.5,43.0,100.0
2024-02-10 00:00:00+00:00,1440,1407,809,1440,0.0,26.0,0.0,14.0,3.87,3.134000000000001,368.9,67.76000000000005,75.0,100.0
2024-02-11 00:00:00+00:00,1440,1194,316,1440,-27.0,70.0,27.0,41.0,6.58,6.371,536.6,275.45,40.0,100.0
2024-02-12 00:00:00+00:00,1440,1393,886,1440,-15.0,1.0,15.0,13.0,4.72,3.8679999999999994,482.85,71.00000000000006,67.0,100.0
2024-02-13 00:00:00+00:00,1440,1287,923,1440,-27.0,10.0,27.0,26.0,5.0,2.5000000000000013,419.8,61.460000000000036,33.0,100.0
2024-02-14 00:00:00+00:00,1440,1195,816,1440,-27.0,0.0,27.0,9.0,6.45,1.692000000000001,419.6,84.94999999999999,25.0,100.0
2024-02-15 00:00:00+00:00,1440,1171,785,1440,-10.0,7.0,10.0,9.0,5.77,2.2300000000000004,394.8,95.32000000000005,90.0,100.0
2024-02-16 00:00:00+00:00,1440,1357,901,1440,-16.0,13.0,16.0,23.0,5.9,3.0580000000000016,387.0,39.099999999999966,33.0,100.0
2024-02-17 00:00:00+00:00,1440,1352,969,1440,-23.0,4.0,23.0,13.0,5.3,2.8389999999999995,336.4,59.04000000000002,50.0,100.0
2024-02-18 00:00:00+00:00,1440,1095,804,1440,-30.0,-7.0,30.0,15.0,6.31,3.2299999999999995,314.70000000000005,29.269999999999982,24.0,100.0
2024-02-19 00:00:00+00:00,1440,1366,1062,1440,-10.0,2.0,10.0,9.0,3.57,0.9099999999999997,289.7,21.599999999999966,30.0,100.0
2024-02-20 00:00:00+00:00,1440,1317,850,1440,-15.0,10.0,15.0,17.0,6.92,4.34,288.4,33.69999999999999,50.0,100.0
2024-02-21 00:00:00+00:00,1440,1378,823,1440,-5.0,16.0,5.0,10.0,7.8,1.9330000000000007,330.7,59.599999999999966,0.0,100.0
2024-02-22 00:00:00+00:00,1440,1375,998,1440,-9.0,9.0,9.0,12.0,6.06,1.1100000000000003,322.4,30.690000000000055,43.0,100.0
2024-02-23 00:00:00+00:00,1440,1398,979,1440,-3.0,12.0,3.0,10.0,5.06,2.9629999999999996,328.4,18.100000000000023,40.0,100.0
2024-02-24 00:00:00+00:00,1440,1400,854,1440,-17.0,13.0,17.0,17.0,5.29,5.07,325.9,60.47000000000003,20.0,100.0
2024-02-25 00:00:00+00:00,1440,1411,994,1440,-31.0,12.0,31.0,30.0,9.98,4.84,386.75,64.80000000000001,14.0,100.0
2024-02-26 00:00:00+00:00,1440,1419,1047,1440,-22.0,4.0,22.0,16.0,7.24,5.36,403.3,55.69999999999999,43.0,100.0
2024-02-27 00:00:00+00:00,1440,1384,790,1440,-33.0,-3.0,33.0,16.0,4.2,4.390000000000001,422.7,38.319999999999936,58.0,100.0
2024-02-28 00:00:00+00:00,1440,1398,530,1440,-20.0,2.0,20.0,10.0,3.16,1.2999999999999998,412.15,60.410000000000025,100.0,100.0
2024-02-29 00:00:00+00:00,1440,1254,718,1440,-5.0,8.0,5.0,7.0,4.45,1.8439999999999994,386.3,41.78000000000003,81.5,100.0
